Edad;qx_hombre;qx_mujer
0;0,005807;0,004744
1;0,000418;0,000376
2;0,000349;0,000307
3;0,000287;0,000245
4;0,000236;0,000195
5;0,0002;0,000157
6;0,000177;0,000132
7;0,000165;0,000118
8;0,000159;0,000113
9;0,000159;0,000115
10;0,000169;0,000123
11;0,000191;0,000134
12;0,000232;0,000149
13;0,000294;0,000169
14;0,000379;0,000194
15;0,000486;0,000223
16;0,000604;0,000253
17;0,00072;0,000279
18;0,000719;0,0003
19;0,000732;0,000312
20;0,000748;0,000318
21;0,000765;0,000319
22;0,000785;0,000317
23;0,000803;0,000315
24;0,000819;0,000317
25;0,00083;0,000322
26;0,000831;0,000301
27;0,000823;0,00029
28;0,000807;0,000284
29;0,000785;0,000282
30;0,000767;0,000277
31;0,000755;0,000301
32;0,000755;0,000328
33;0,000774;0,000362
34;0,000818;0,000414
35;0,000888;0,000478
36;0,000974;0,000556
37;0,00107;0,000641
38;0,00117;0,000732
39;0,001274;0,000848
40;0,001389;0,000978
41;0,00153;0,001117
42;0,00171;0,001251
43;0,001927;0,00137
44;0,002173;0,001477
45;0,002439;0,001586
46;0,002727;0,001707
47;0,003048;0,00185
48;0,003393;0,002017
49;0,003774;0,002218
50;0,004187;0,002452
51;0,004634;0,002725
52;0,005092;0,003012
53;0,005572;0,00328
54;0,006094;0,003517
55;0,006676;0,003732
56;0,0073;0,003947
57;0,007959;0,004169
58;0,008602;0,004393
59;0,009213;0,004598
60;0,009793;0,004801
61;0,01035;0,00503
62;0,010892;0,005293
63;0,011451;0,005598
64;0,012051;0,005984
65;0,012703;0,006501
66;0,014059;0,007148
67;0,015664;0,007931
68;0,017562;0,008878
69;0,019807;0,009992
70;0,02246;0,011267
71;0,025605;0,012705
72;0,029354;0,014313
73;0,033833;0,017578
74;0,039202;0,021666
75;0,045637;0,026885
76;0,053345;0,030905
77;0,062555;0,035669
78;0,073532;0,041312
79;0,086547;0,047972
80;0,096814;0,055808
81;0,108179;0,064946
82;0,120688;0,075514
83;0,134417;0,087641
84;0,149484;0,101439
85;0,166049;0,117042
86;0,184195;0,134524
87;0,203925;0,153931
88;0,22515;0,175256
89;0,247704;0,198432
90;0,271358;0,223304
91;0,295823;0,249693
92;0,320854;0,277406
93;0,346242;0,306291
94;0,371835;0,336236
95;0,39755;0,367161
96;0,423336;0,398976
97;0,449171;0,43153
98;0,475035;0,464635
99;0,500918;0,49808
100;0,526808;0,531667
101;0,583877;0,559229
102;0,618746;0,595678
103;0,654849;0,633277
104;0,692209;0,672036
105;0,730838;0,71195
106;0,770736;0,753003
107;0,811884;0,795159
108;0,854241;0,838361
109;0,897733;0,882519
110;0,942245;0,927507
111;0,987609;0,973152
112;1;1
113;1;1
114;1;1
115;1;1
116;1;1
117;1;1
118;1;1
119;1;1
120;1;1
